755001,Amelie,2001,Jean-Pierre Jeunet,,
755003,Garden State,2004,Zach Braff,,
755004,Hero,2004,Zhang Yimou,,
755005,Moulin Rouge,2001,Baz Luhrmann,,
755006,Oceans Eleven,2001,Steven Soderbergh,,
755007,Raiders Of The Lost Ark,1981,Steven Spielberg,,
755008,Seven,1995,David Fincher,,
755009,Shrek,2001,Andrew Adamson Vicky Jenson,,
755010,Terminator 2,1991,James Cameron,,
755012,The Matrix,1999,Wachowski Brothers,,
755013,White Chicks,2004,Keenan Ivory Wayans,,
755014,Star Wars: Episode I,1999,George Lucas,,
764001,The Village,2004,M. Night Shyamalan,,
764002,Troy,2004,Wolfgang Peterson,,
764003,National Treasure,2004,Jon Turteltaub,,
764004,Spider-Man 2,2004,Sam Raimi,,
764005,The Incredibles,2004,Brad Bird,,
764007,The Polar Express,2004,Robert Zemeckis,,
764008,Hellboy,2004,Guillermo del Toro,,
764009,50 First Dates,2004,Peter Segal,,
764010,Oceans Twelve,2004,Steven Soderbergh,,
788001,When Harry Met Sally,1989,Rob Reiner,,
788002,Being Human,1994,Bill Forsyth,,
788003,American History X,1998,Tony Kaye,,
788004,Bone Collector,1999,Phillip Noyce,,
788005,Good Will Hunting,1997,Gus Van Sant,,
788007,Ride With the Devil,1999,Ang Lee,,
788008,Master and Commander: The Far Side of the World,2003,Peter Weir,,
788009,The Others,2001,Alejandro Amenabar,,
788010,Love Actually,2003,Richard Curtis,,
788011,Fahrenheit 9/11,2004,Michael Moore,,
788012,Almost Famous,2000,Cameron Crowe,,
788013,A Beautiful Mind,2001,Ron Howard,,
788014,Proof of Life,2000,Taylor Hackford,,
788015,Philadelphia,1993,Jonathan Demme,,
788016,Courage Under Fire,1996,Edward Zwick,,
788017,You've Got Mail,1998,Nora Ephron,,
788018,The terminal,2004,Steven Spielberg,,
855001,Rush Hour 2,2001,Brett Ratner,,
855002,The Fifth Element,1997,Luc Besson,,
855003,Shall We Dance,2004,Peter Chelsom,,
855004,Runaway Bride,1999,Garry Marshall,,
855005,Ocean Twelve,2004,Steven Soderbergh,,
855006,Intolerable Cruelty,2003,Joel Coen,,
855007,Finding Neverland,2004,Marc Forster,,
855008,Sleepy Hollow,1999,Tim Burton,,
855009,External Sunshine of the Spotless Mind,2004,Michel Gondry,,
872001,Catwoman,2004,Pitof,,
872002,Are We There Yet,2005,Brian Levant,,
872003,Meet the Fockers,2004,Jay Roach,,
872004,Dodgeball: A True Underdog Story,2004,Rawson Marshall Thurber,,
872005,Starsky & Hutch,2004,Todd Phillips,,
872006,Training Day,2001,Antonie Fuqua,,
872007,Man on Fire,2001,Tony Scott,,
872008,The Stepford Wives,2004,Frank Oz,,
872009,Eyes Wide Shut,1999,Stanley Kubrick,,
872010,Collateral,2004,Michael Mann,,
872011,Ray,2004,Taylor Hackford,,
872012,Bad Company,2002,Joel Schumacher,,
907000,One Eight Seven,1997,Kevin Reynolds,,
907001,Thir13en Ghosts,2001,Steve Beck,,
907002,24 Hour Party People,2002,Michael Winterbottom,,
907003,2001: A Space Odyssey,1968,Stanley Kubrick,,
907004,A Clockwork Orange,1971,Stanley Kubrik,,
907005,3000 Miles to Graceland,2001,Demian Lichtenstein,,
907006,The Affair of the Necklace,2001,Charles Shyer,,
907007,Batman Begins,2005,Christopher Nolan,,
907008,All or Nothing,2002,Mike Leigh,,
907009,All Over Me,1997,Alex Sichel,,
